species	taxid	genus	subfamily	family	superfamily	infraorder	suborder	order	subclass	class	subphylum	phylum	GC_timing	GC_mech	GC_mech_evidence
Mayetiola destructor	39758	Mayetiola	Cecidomyiinae	Cecidomyiidae	Sciaroidea	Bibionomorpha	Nematocera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	
Meganyctiphanes norvegica	48144	Meganyctiphanes		Euphausiidae				Euphausiacea	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	1	IND	GP_obs
Megaselia abdita	88686	Megaselia	Metopininae	Phoridae	Platypezoidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Melanoplus differentialis	30253	Melanoplus	Melanoplinae	Acrididae	Acridoidea	Acrididea	Caelifera	Orthoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Melophagus ovinus	452749	Melophagus	Lipopteninae	Hippoboscidae	Hippoboscoidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Mesopodopsis orientalis	536617	Mesopodopsis	Mysinae	Mysidae				Mysida	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
Messor pergandei	458889	Messor	Myrmicinae	Formicidae	Formicoidea	Aculeata	Apocrita	Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Miastor metraloas		Miastor		Cecidomyiidae				Diptera		Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Musca domestica	7370	Musca	Muscinae	Muscidae	Muscoidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Nasonia vitripennis	7425	Nasonia	Pteromalinae	Pteromalidae	Chalcidoidea	Proctotrupomorpha	Apocrita	Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_exp
Nebalia bipes	1032909	Nebalia		Nebaliidae				Leptostraca	Phyllocarida	Malacostraca	Crustacea	Arthropoda	3	IND	
Nematus ribesii	362087	Euura	Nematinae	Tenthredinidae	Tenthredinoidea			Hymenoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Neomicropteryx nipponensis	245862	Neomicropteryx		Micropterigidae			Zeugloptera	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Neomysis integer	223650	Neomysis	Mysinae	Mysidae				Mysida	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	IND	
Nymphalis antiopa	171592	Nymphalis	Nymphalinae	Nymphalidae	Papilionoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Nymphon brevirostre	2268670	Nymphon		Nymphonidae				Pantopoda		Pycnogonida	Chelicerata	Arthropoda	3	IND	
Odontotaenius disjunctus	295546	Odontotaenius		Passalidae	Scarabaeoidea	Scarabaeiformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Oecanthus niveus	1425302	Oecanthus	Oecanthinae	Gryllidae	Grylloidea	Gryllidea	Ensifera	Orthoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Oncopeltus fasciatus	7536	Oncopeltus	Lygaeinae	Lygaeidae	Lygaeoidea	Pentatomomorpha	Heteroptera	Hemiptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Opilio parietinus	121214	Opilio	Opilioninae	Phalangiidae	Phalangioidea		Palpatores	Opiliones		Arachnida	Chelicerata	Arthropoda	2	IND	
Opisthopatus roseus	1085567	Opisthopatus		Peripatopsidae				Euonychophora		Udeonychophora		Onychophora	3	IND	
Orchestia cavimana	1577145	Cryptorchestia		Talitridae	Talitroidea	Talitrida	Senticaudata	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	1	GP	
Orthagoriscicola muricata		Orthagoriscicola		Pandaridae				Hexanauplia		Siphonostomatoida	Crustacea	Arthropoda	2	IND	
Otiorhynchus ligustici	703594	Otiorhynchus	Entiminae	Curculionidae	Curculionoidea	Cucujiformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Pandarus sinuatus	3041738	Pandarus		Pandaridae				Siphonostomatoida	Copepoda	Hexanauplia	Crustacea	Arthropoda	1	GP	
Panorpa pryeri	309189	Panorpa		Panorpidae				Mecoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	GP	GP_obs
Panulirus japonicus	6736	Panulirus		Palinuridae	Palinuroidea	Achelata	Pleocyemata	Decapoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	GP	
Paralimnadia stanleyana	1747216	Paralimnadia		Limnadiidae			Spinicaudata	Diplostraca	Phyllopoda	Branchiopoda	Crustacea	Arthropoda	3	IND	
Pararge aegeria	116150	Pararge	Satyrinae	Nymphalidae	Papilionoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	GP	GP_obs
Parasteatoda tepidariorum	114398	Parasteatoda		Theridiidae	Araneoidea		Araneomorphae	Araneae		Arachnida	Chelicerata	Arthropoda	3	IND	
Parhyale hawaiensis	317513	Parhyale		Hyalidae	Hyaloidea	Talitrida	Senticaudata	Amphipoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	1	GP	GP_exp
Parnassius glacialis		Parnassius	Parnassiinae	Papilionidae	Papilionoidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Pauropus silvaticus		Pauropus		Pauropodidae				Tetramerocerata		Pauropoda	Myriapoda	Arthropoda	3	IND	
Pectinophora gossypiella	13191	Pectinophora	Apatetrinae	Gelechiidae	Gelechioidea	Neolepidoptera	Glossata	Lepidoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	GP	GP_obs
Penaeus japonicus	27405	Penaeus		Penaeidae	Penaeoidea		Dendrobranchiata	Decapoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	GP	GP_obs
Penaeus monodon	6687	Penaeus		Penaeidae	Penaeoidea		Dendrobranchiata	Decapoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	GP	GP_obs
Penaeus vannamei	6689	Penaeus		Penaeidae	Penaeoidea		Dendrobranchiata	Decapoda	Eumalacostraca	Malacostraca	Crustacea	Arthropoda	2	GP	GP_obs
Penilia avirostris	124140	Penilia		Sididae		Ctenopoda	Cladocera	Diplostraca	Phyllopoda	Branchiopoda	Crustacea	Arthropoda	3	IND	
Peripatopsis balfouri	574531	Peripatopsis		Peripatopsidae				Euonychophora		Udeonychophora		Onychophora	3	IND	
Peripatopsis capensis	88308	Peripatopsis		Peripatopsidae				Euonychophora		Udeonychophora		Onychophora	3	IND	
Peripatopsis moseleyi	574533	Peripatopsis		Peripatopsidae				Euonychophora		Udeonychophora		Onychophora	2	IND	
Peripatopsis sedgwicki	574535	Peripatopsis		Peripatopsidae				Euonychophora		Udeonychophora		Onychophora	3	IND	
Blatta orientalis		Blatta	Blattinae	Blattidae	Blattoidea			Blattodea	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Phalangium opilio	118624	Phalangium	Phalangiinae	Phalangiidae	Phalangioidea		Palpatores	Opiliones		Arachnida	Chelicerata	Arthropoda	2	IND	
Phlebotomus papatasi	29031	Phlebotomus	Phlebotominae	Psychodidae	Psychodoidea	Psychodomorpha	Nematocera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Phormia regina	7380	Phormia	Chrysomyinae	Calliphoridae	Oestroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
