species	taxid	genus	subfamily	family	superfamily	infraorder	suborder	order	subclass	class	subphylum	phylum	GC_timing	GC_mech	GC_mech_evidence
Triops longicaudatus	58777	Triops		Triopsidae				Notostraca	Phyllopoda	Branchiopoda	Crustacea	Arthropoda	3	IND	
Euscorpius carpathicus		Euscorpius	Euscorpiinae	Euscorpiidae	Chactoidea			Scorpiones		Arachnida	Chelicerata	Arthropoda	2	IND	
Thelyphonus caudatus		Thelyphonus		Thelyphonidae				Uropygi		Arachnida	Chelicerata	Arthropoda	3	IND	
Agelena labyrinthica		Agelena		Agelenidae			Araneomorphae	Araneae		Arachnida	Chelicerata	Arthropoda	3	IND	
Diaptomus coeruleus		Eudiaptomus		Diaptomidae				Calanoida		Copepoda	Crustacea	Arthropoda	2	IND	
Doropygus gibber		Doropygus		Notodelphyidae				Cyclopoida		Copepoda	Crustacea	Arthropoda	2	IND	
Notopterophorus papilio		Notopterophorus		Notodelphyidae				Cyclopoida		Copepoda	Crustacea	Arthropoda	2	IND	
Petrobius brevistylis		Petrobius		Machilidae				Archaeognatha	Monocondylia	Insecta	Hexapoda	Arthropoda	3	IND	
Pyrrhocoris apterus		Pyrrhocoris		Pyrrhocoridae	Pyrrhocoroidea	Pentatomomorpha	Heteroptera	Hemiptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Carabus insulicola		Carabus	Carabinae	Carabidae	Caraboidea		Adephaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda		IND	
Dineutus mellyi		Dineutus		Gyrinidae	Gyrinoidea		Adephaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda		IND	
Hydaticus pacificus		Hydaticus	Dytiscinae	Dytiscidae	Dytiscoidea		Adephaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda		IND	
Nipponoluciola cruciata		Nipponoluciola	Luciolinae	Lampyridae	Elateroidea	Elateriformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda		IND	
Panorpodes paradoxa		Panorpodes		Panorpodidae				Mecoptera		Insecta	Hexapoda	Arthropoda	2	IND	
Bittacus laevipes		Bittacus		Bittacidae				Mecoptera		Insecta	Hexapoda	Arthropoda	2	IND	
Boreus westwoodi		Boreus		Boreidae				Mecoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
Calanus finmarchicus		Calanus		Calanidae				Calanoida	Copepoda	Copepoda	Crustacea	Arthropoda	3	IND	
Drosophila americana		Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Drosophila busckii		Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Drosophila funebris		Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Drosophila gibberosa		Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Drosophila hydei		Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Drosophila immigrans		Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_exp
Drosophila repleta		Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Drosophila virilis		Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Drosophila willistoni		Drosophila	Drosophilinae	Drosophilidae	Ephydroidea	Muscomorpha	Brachycera	Diptera	Pterygota	Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Eudiaptomus vulgaris		Eudiaptomus		Diaptomidae				Calanoida	Copepoda	Copepoda	Crustacea	Arthropoda	3	IND	
Habrobracon juglandis		Habrobracon		Braconidae				Hymenoptera		Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Aquatica lateralis		Aquatica	Luciolinae	Lampyridae	Elateroidea	Elateriformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda		IND	
Hotaria parvula		Hotaria	Luciolinae	Lampyridae	Elateroidea	Elateriformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda		IND	
Pyrocoelia rufa		Pyrocoelia	Lampyrinae	Lampyridae	Elateroidea	Elateriformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda		IND	
Corynodes pusis		Corynodes	Eumolpinae	Chrysomelidae				Coleoptera		Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Anurida maritima		Anurida	Pseudachorutinae	Neanuridae	Poduroidea			Poduromorpha		Collembola	Hexapoda	Arthropoda	3	IND	
Cyprideis littoralis		Cyprideis		Cytherideidae				Podocopida		Ostracoda	Crustacea	Arthropoda	2	IND	
Holopedium gibberum		Holopedium		Holopediidae		Ctenopoda	Cladocera	Diplostraca	Phyllopoda	Branchiopoda	Crustacea	Arthropoda	2	IND	
Heterotanis oerstedi		Heterotanais		Leptocheliidae				Tanaidacea		Malacostraca		Arthropoda	2	IND	
Nymphon hirtum		Nymphon		Nymphonidae				Pantopoda		Pycnogonida	Chelicerata	Arthropoda	3	IND	
Endeis spinosa		Endeis		Endeidae				Pantopoda		Pycnogonida	Chelicerata	Arthropoda	3	IND	
Euryope terminalis		Euryope	Eumolpinae	Chrysomelidae				Coleoptera		Insecta	Hexapoda	Arthropoda	1	GP	GP_obs
Hydrophilus piceus		Hydrophilus	Hydrophilinae	Hydrophilidae	Hydrophiloidea	Staphyliniformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda	3	IND	
Phrynus marginemaculatus		Phrynus		Phrynidae				Amblypygi		Arachnida	Chelicerata	Arthropoda	3	IND	
Pselaphochernes scorpioides		Pselaphochernes		Chernetidae	Cheliferoidea			Pseudoscorpiones		Arachnida	Chelicerata	Arthropoda	3	IND	
Phyllophaga fervida		Phyllophaga	Melolonthinae	Scarabaeidae	Scarabaeoidea	Scarabaeiformia	Polyphaga	Coleoptera	Pterygota	Insecta	Hexapoda	Arthropoda	2	IND	
